Student_ID,Student_Age,Sex,High_School_Type,Scholarship,Additional_Work,Sports_activity,Transportation,Weekly_Study_Hours,Attendance,Reading,Notes,Listening_in_Class,Project_work,Grade
STUDENT1,18,Male,State,50%,No,No,Bus,0,Always,No,No,Yes,Yes,DD
STUDENT2,18,Male,State,50%,No,No,Private,0,Always,Yes,No,No,No,DD
STUDENT3,23-27,Male,State,75%,Yes,Yes,Private,12,Never,No,No,Yes,Yes,BA
STUDENT4,18,Male,State,75%,No,Yes,Private,0,Always,No,No,No,Yes,DD
STUDENT5,18,Female,Other,75%,No,No,Private,0,Always,No,Yes,Yes,No,DC
STUDENT6,18,Male,State,100%,Yes,No,Bus,0,Never,No,No,Yes,No,AA
STUDENT7,18,Male,State,50%,No,No,Bus,0,Always,No,No,Yes,Yes,DD
STUDENT8,19-22,Female,State,50%,Yes,Yes,Bus,0,Sometimes,Yes,Yes,Yes,No,Fail
STUDENT9,18,Male,State,75%,No,No,Private,0,Always,Yes,No,No,No,DD
STUDENT10,19-22,Male,State,50%,No,Yes,Private,2,Always,Yes,No,No,Yes,DC
STUDENT11,19-22,Female,State,100%,No,No,Private,0,Always,Yes,Yes,Yes,No,AA
STUDENT12,19-22,Male,State,50%,No,No,Private,0,Never,No,No,No,Yes,DD
STUDENT13,18,Male,Private,75%,No,No,Bus,12,Always,No,Yes,Yes,No,DD
STUDENT14,18,Female,State,50%,Yes,Yes,Private,0,Always,Yes,Yes,No,No,AA
STUDENT15,19-22,Female,State,50%,Yes,No,Private,2,Always,Yes,Yes,Yes,No,AA
STUDENT16,19-22,Male,Other,50%,Yes,No,Private,0,Always,Yes,No,Yes,Yes,AA
STUDENT17,19-22,Male,State,50%,No,Yes,Private,2,Always,Yes,No,No,Yes,DC
STUDENT18,19-22,Male,State,50%,Yes,Yes,Bus,2,Sometimes,No,No,Yes,Yes,AA
STUDENT19,18,Female,State,50%,Yes,Yes,Private,0,Always,Yes,Yes,Yes,No,BB
STUDENT20,18,Male,State,100%,Yes,No,Bus,0,Never,No,No,Yes,No,AA
STUDENT21,19-22,Male,State,50%,Yes,Yes,Private,0,Always,Yes,Yes,No,No,CB
STUDENT22,18,Male,State,100%,No,No,Bus,0,Never,No,No,No,No,AA
STUDENT23,18,Male,State,75%,No,Yes,Bus,0,Always,Yes,Yes,No,Yes,DC
STUDENT24,18,Male,State,50%,No,Yes,Bus,0,Always,No,No,Yes,No,AA
STUDENT25,23-27,Male,State,50%,No,No,Bus,12,Always,Yes,Yes,Yes,No,BB
STUDENT26,23-27,Male,State,75%,Yes,Yes,Private,12,Never,No,No,Yes,Yes,BA
STUDENT27,19-22,Male,State,50%,No,No,Bus,2,Sometimes,Yes,Yes,Yes,Yes,AA
STUDENT28,18,Female,State,75%,Yes,Yes,Private,0,Always,No,Yes,Yes,No,DC
STUDENT29,19-22,Male,State,50%,No,No,Private,12,Never,No,Yes,No,Yes,BB
STUDENT30,19-22,Male,State,75%,No,No,Bus,2,Always,Yes,Yes,Yes,No,CC
STUDENT31,18,Female,State,50%,Yes,Yes,Private,0,Always,Yes,Yes,No,No,AA
STUDENT32,19-22,Male,State,50%,No,No,Bus,2,Sometimes,Yes,Yes,Yes,Yes,AA
STUDENT33,18,Female,State,75%,No,Yes,Private,0,Sometimes,No,Yes,Yes,Yes,AA
STUDENT34,18,Male,State,100%,Yes,No,Bus,0,Never,No,No,Yes,No,AA
STUDENT35,18,Male,State,50%,No,Yes,Bus,0,Always,No,Yes,Yes,Yes,DC
STUDENT36,19-22,Male,State,50%,No,No,Private,0,Always,Yes,No,No,Yes,BA
STUDENT37,18,Female,Private,100%,No,Yes,Private,0,Sometimes,No,Yes,Yes,Yes,CB
STUDENT38,18,Male,State,75%,No,Yes,Bus,0,Always,Yes,Yes,No,Yes,DC
STUDENT39,19-22,Male,State,50%,No,Yes,Bus,0,Always,Yes,Yes,No,No,CC
STUDENT40,19-22,Female,State,100%,No,No,Private,0,Always,Yes,No,No,Yes,AA
STUDENT41,19-22,Female,Other,50%,No,Yes,Bus,0,Always,No,No,No,Yes,CC
STUDENT42,19-22,Male,State,50%,No,No,Private,0,Always,Yes,No,No,No,DC
STUDENT43,19-22,Female,State,50%,Yes,No,Private,2,Always,Yes,Yes,Yes,No,AA
STUDENT44,18,Female,State,50%,Yes,Yes,Private,0,Always,Yes,Yes,Yes,No,BB
STUDENT45,19-22,Male,Other,50%,No,No,Private,12,Always,Yes,Yes,No,Yes,DD
STUDENT46,19-22,Male,State,100%,Yes,Yes,Bus,0,Always,No,Yes,Yes,No,DC
