study_hours,attendance,sleep_hours,assignments_completed,internet_usage,previous_grade,participation,mock_test_score,class_interaction,extra_classes_attended,final_result
4.37,43.1,4.84,2.08,6.31,66.34,9.61,93.21,4.07,5.21,Average
9.56,71.88,5.39,0.27,1.17,63.54,7.64,62.64,1.65,9.76,Good
7.59,72.44,4.89,1.81,1.15,31.79,4.18,32.64,4.69,1.26,Poor
6.39,78.25,4.44,5.83,3.27,53.89,3.67,75.67,3.8,0.17,Average
2.4,83.57,4.6,4.21,4.42,56.61,4.15,83.46,7.09,7.7,Average
2.4,98.55,6.3,8.93,6.39,57.92,7.97,45.34,6.45,8.07,Average
1.52,70.98,5.03,8.17,5.78,70.61,6.95,88.57,4.28,1.2,Average
8.8,59.38,5.82,3.42,4.12,67.35,2.67,92.49,2.96,2.66,Average
6.41,87.71,6.52,2.59,2.92,72.55,2.57,42.15,9.89,0.18,Average
7.37,56.25,7.45,3.8,7.98,83.54,1.89,98.68,5.09,2.93,Average
1.19,66.34,4.2,5.9,3.98,86.91,6.94,31.26,7.19,7.73,Poor
9.73,44.71,8.0,2.68,4.16,80.27,7.88,36.16,2.26,5.18,Average
8.49,41.52,7.14,6.24,2.15,96.89,3.39,34.74,5.37,3.48,Average
2.91,97.76,4.41,4.09,6.56,31.28,1.19,91.52,1.25,3.72,Poor
2.64,90.16,8.37,5.52,5.86,43.7,1.74,72.34,5.55,0.01,Poor
2.65,81.76,8.6,4.36,2.55,30.53,9.71,32.17,9.68,3.0,Average
3.74,64.54,4.31,2.94,1.58,75.32,3.66,55.23,4.46,6.46,Poor
5.72,50.4,5.38,9.48,5.76,92.86,7.92,69.22,1.35,9.74,Average
4.89,49.39,8.03,7.64,5.58,47.04,6.62,26.68,1.28,8.47,Poor
3.62,55.01,7.74,1.4,2.91,94.89,4.44,90.59,4.49,0.24,Average
6.51,72.95,4.92,8.68,7.66,34.22,2.85,84.29,2.44,8.99,Average
2.26,82.88,5.05,4.87,2.06,95.41,2.09,60.42,1.21,7.83,Average
3.63,79.61,5.85,8.95,4.03,54.61,6.54,97.37,7.81,7.8,Good
4.3,56.8,6.42,8.0,7.61,37.1,7.97,53.42,5.13,4.58,Average
5.1,97.29,7.09,4.25,3.94,64.01,6.8,98.73,3.6,3.98,Good
8.07,84.27,5.84,0.22,5.47,47.97,5.77,73.43,9.1,3.03,Average
2.8,73.26,6.31,2.69,3.78,49.94,1.38,70.77,2.05,0.66,Poor
5.63,76.7,7.74,5.42,2.92,51.51,9.72,33.28,9.6,2.28,Average
6.33,65.18,4.18,6.33,7.89,86.21,8.19,90.55,3.83,2.47,Average
1.42,54.86,5.26,2.58,3.87,67.74,3.64,54.2,9.0,4.84,Poor
6.47,61.36,7.57,1.39,7.26,51.79,9.82,32.98,6.43,7.47,Poor
2.53,85.47,8.48,8.35,2.61,72.72,6.42,21.01,8.44,4.74,Average
1.59,40.86,6.56,9.84,2.49,80.13,6.24,64.78,9.86,0.58,Average
9.54,46.96,6.66,5.26,1.22,49.08,7.73,62.19,3.6,9.58,Good
9.69,42.76,4.54,1.72,5.56,58.95,8.31,77.55,9.65,9.43,Good
8.28,42.44,6.24,2.72,3.58,38.53,6.91,91.22,4.51,7.85,Average
3.74,91.33,6.66,0.18,7.05,42.68,2.15,26.35,4.47,9.91,Poor
1.88,82.22,5.21,9.14,4.31,77.68,4.04,78.52,4.06,5.44,Average
7.16,68.45,5.35,1.18,7.78,42.7,9.35,34.99,5.87,9.63,Average
4.96,45.87,5.89,5.77,2.3,66.76,3.02,88.65,2.39,0.76,Average
2.1,69.5,4.1,2.74,7.08,79.63,4.35,85.53,5.98,3.66,Poor
5.46,68.41,5.61,5.54,6.44,37.48,4.89,63.26,5.88,2.25,Poor
1.31,50.39,5.06,6.51,6.4,69.71,4.95,76.82,7.86,1.96,Poor
9.18,66.03,5.64,8.3,6.91,47.96,6.52,45.15,8.5,1.41,Average
3.33,63.91,4.6,2.06,6.33,97.4,9.49,57.69,4.96,6.22,Average
6.96,76.95,8.45,0.11,5.38,63.85,3.17,85.73,3.72,7.81,Average
3.81,78.11,6.97,1.37,1.92,86.42,2.09,56.74,3.33,5.78,Poor
5.68,42.72,7.4,9.0,1.23,68.52,2.78,48.62,2.75,1.47,Average
5.92,62.48,7.95,8.74,7.45,33.04,8.98,59.54,1.52,8.11,Average
2.66,77.55,6.49,5.97,5.32,74.32,6.81,86.26,4.08,6.36,Average
9.73,70.19,4.43,6.01,6.58,96.6,3.57,46.82,3.43,3.88,Average
7.98,91.39,6.69,6.65,4.37,72.11,8.34,33.9,9.7,6.74,Good
9.46,79.52,6.93,1.75,1.82,87.34,8.75,76.96,6.02,2.6,Good
9.05,49.78,7.73,9.14,1.88,91.89,8.62,86.08,4.13,3.45,Good
6.38,44.23,6.16,4.19,5.8,45.97,9.27,28.05,6.22,9.17,Average
9.3,78.55,4.64,3.83,4.01,44.84,3.27,39.19,2.25,2.91,Average
1.8,41.59,5.42,5.19,2.4,72.77,7.8,31.36,5.0,4.7,Poor
2.76,75.15,5.82,0.47,4.44,58.77,5.14,47.84,6.64,8.9,Poor
1.41,96.41,7.23,1.66,1.45,88.79,8.58,56.03,5.4,7.08,Average
3.93,74.53,6.85,7.38,5.07,93.0,7.56,79.91,4.62,0.62,Average
4.5,63.29,5.78,0.83,2.88,54.74,7.99,72.09,9.94,1.47,Average
3.44,78.6,8.93,6.03,6.58,46.58,6.91,69.67,8.92,0.08,Average
8.46,67.5,7.03,2.45,3.17,84.64,2.6,48.19,6.61,6.31,Average
4.21,72.74,5.19,3.89,4.19,49.24,5.91,87.32,6.12,4.48,Average
3.53,96.49,4.51,2.89,1.08,87.58,9.86,57.7,6.59,1.34,Good
5.88,63.17,4.76,3.56,1.51,59.66,9.44,98.33,2.81,9.58,Good
2.27,97.67,5.23,7.19,3.75,76.73,1.39,70.73,4.56,5.3,Average
8.22,94.32,4.8,2.97,4.36,36.69,2.48,30.1,1.36,2.42,Poor
1.67,51.75,4.93,5.66,5.2,73.67,2.19,74.09,5.28,5.01,Poor
9.88,44.16,5.43,4.76,3.04,61.62,7.53,46.01,5.89,6.8,Average
7.95,46.05,4.87,6.64,5.86,71.06,8.36,74.91,3.05,0.76,Average
2.79,41.09,8.48,9.37,7.02,41.76,2.92,25.57,9.68,2.75,Poor
1.05,45.67,4.4,7.33,6.46,81.58,5.55,33.99,9.19,8.07,Poor
8.34,80.98,6.62,2.15,1.28,90.4,8.57,88.46,7.5,4.6,Good
7.36,44.27,6.05,0.31,4.36,45.17,7.6,38.17,5.8,5.47,Poor
7.56,59.14,8.91,2.62,1.73,36.7,5.88,86.96,8.83,4.33,Good
7.94,90.69,4.56,5.95,2.69,31.65,6.31,42.34,2.18,0.44,Average
1.67,41.4,5.99,0.51,7.91,74.94,5.58,71.43,8.11,1.66,Poor
4.23,88.87,8.85,4.96,2.0,72.5,3.68,75.53,2.12,4.46,Good
2.04,56.91,8.33,5.97,4.49,68.27,6.09,61.01,8.15,2.09,Average
8.77,47.09,8.09,3.34,5.33,46.24,7.2,44.42,3.48,0.5,Average
6.61,81.8,5.29,7.71,5.92,57.36,8.86,37.01,8.89,8.44,Average
3.98,77.74,4.85,1.07,4.92,71.61,6.73,22.66,9.5,9.81,Poor
1.57,92.65,7.34,0.75,1.07,64.77,7.85,44.32,2.34,7.93,Poor
3.8,84.1,8.65,7.28,3.29,99.14,2.44,72.25,5.16,8.54,Good
3.93,88.21,6.78,4.95,4.62,39.55,5.15,95.06,9.83,2.42,Average
7.57,56.92,6.86,6.88,1.62,78.66,1.08,89.7,5.35,9.61,Good
6.74,50.65,5.4,4.35,3.45,58.3,3.22,81.29,8.77,1.97,Average
8.98,85.04,7.85,2.46,1.23,59.97,7.54,83.08,6.3,9.51,Good
5.25,88.41,4.94,8.19,1.55,80.23,9.93,73.2,4.38,9.95,Good
2.08,99.43,5.62,7.99,3.78,78.47,1.89,40.82,3.57,7.12,Average
7.42,64.76,6.13,6.95,1.93,99.39,4.61,92.58,2.83,9.81,Good
7.85,62.32,6.54,2.72,4.97,38.99,8.2,73.66,7.86,5.7,Average
6.05,86.58,5.21,5.9,5.83,37.29,2.84,64.84,4.48,2.6,Average
7.94,60.45,4.57,3.61,6.6,80.7,6.0,28.88,5.6,4.37,Poor
5.44,95.85,7.05,0.92,2.4,70.49,7.6,55.76,5.43,5.94,Average
5.7,91.5,5.44,9.17,2.17,49.19,6.54,56.83,6.2,0.73,Good
4.85,65.74,6.91,1.37,1.73,35.56,2.69,89.17,8.79,6.22,Average
1.23,85.05,4.77,9.5,5.46,36.0,4.2,63.73,9.83,9.81,Average
1.97,85.27,6.41,4.46,5.95,92.59,8.05,50.43,4.67,1.9,Poor
1.28,46.19,6.66,1.85,1.22,43.43,5.99,98.14,8.45,7.93,Poor
6.73,94.15,4.26,5.42,7.55,52.64,1.05,28.86,7.88,9.08,Poor
3.83,70.32,5.68,8.73,1.36,45.87,7.85,53.8,6.16,9.44,Average
5.58,89.59,4.67,7.32,4.79,54.85,1.32,23.36,9.6,9.6,Average
9.17,59.2,4.32,8.07,5.96,34.86,7.71,79.19,2.8,5.21,Good
3.24,93.73,8.95,6.59,7.1,66.33,2.82,93.45,1.98,9.77,Good
4.69,63.35,5.61,6.92,6.0,34.73,9.62,42.4,8.69,7.57,Average
7.8,40.65,8.05,8.49,6.61,86.02,4.31,88.67,4.95,1.62,Good
3.06,94.32,5.27,2.5,3.38,46.36,3.94,43.38,8.62,4.77,Poor
1.69,45.48,7.41,4.89,6.7,67.8,2.34,92.86,9.04,7.18,Average
3.61,59.16,7.8,2.21,1.56,91.61,3.75,80.32,1.56,2.47,Average
2.45,97.0,6.98,9.88,7.26,75.56,8.89,84.39,8.95,6.41,Good
9.37,97.04,6.36,9.44,4.83,67.31,9.97,21.44,5.03,6.67,Good
8.27,74.41,6.06,0.39,6.72,52.7,4.31,97.02,5.59,1.63,Average
6.7,77.91,5.74,7.06,4.17,53.31,5.04,78.13,6.64,5.65,Good
8.84,66.91,8.65,9.25,5.51,76.86,7.5,44.38,9.34,7.72,Good
8.23,57.59,8.15,1.81,4.68,99.59,8.98,86.35,1.17,4.99,Good
2.68,59.72,8.83,5.68,6.12,76.33,6.34,42.52,5.29,0.12,Poor
9.03,80.35,4.62,9.15,1.57,69.04,4.52,89.82,7.19,0.09,Good
5.85,85.14,7.65,0.34,1.42,81.15,4.71,29.01,7.5,3.57,Average
8.27,87.49,8.69,6.97,2.73,62.56,7.26,76.29,7.23,9.26,Good
9.06,87.38,4.91,2.97,2.12,34.21,1.03,63.26,2.21,2.29,Average
3.86,45.47,4.33,9.24,7.1,69.36,6.58,27.72,3.69,6.34,Poor
1.99,69.67,7.71,9.71,2.53,97.03,4.2,39.35,4.23,2.22,Average
3.05,43.45,6.87,9.44,7.83,42.27,8.15,20.99,8.24,3.22,Poor
4.84,72.97,8.21,4.74,3.36,78.3,1.84,57.5,3.51,8.48,Average
8.36,66.49,4.7,8.62,2.27,44.07,6.29,44.1,2.9,7.29,Average
8.75,93.26,7.98,8.45,6.53,67.51,5.33,67.87,9.62,0.95,Good
1.06,61.05,5.01,3.19,5.61,36.77,6.78,43.78,1.08,4.29,Poor
5.6,47.02,4.82,8.29,4.49,61.53,1.58,43.99,9.98,0.29,Average
4.76,48.58,4.82,0.37,4.89,82.93,6.22,79.46,7.09,4.81,Poor
3.0,85.69,8.07,5.96,6.03,54.33,6.05,23.85,8.46,6.62,Average
2.08,77.09,7.33,2.3,2.6,76.54,6.05,92.23,3.65,1.19,Average
4.04,46.07,6.62,1.21,7.97,85.68,6.43,88.18,1.13,2.89,Poor
9.49,45.05,5.79,0.77,7.82,94.9,7.09,73.42,7.64,3.98,Average
3.91,82.06,8.39,6.96,5.55,46.42,8.24,67.46,8.51,9.2,Good
5.67,44.37,5.96,3.4,2.4,57.95,3.43,91.38,7.66,9.93,Average
7.33,89.31,8.08,7.25,5.76,40.67,8.43,34.83,2.29,0.45,Average
4.27,82.37,6.2,0.65,1.51,99.47,5.48,26.32,7.78,7.61,Average
9.75,44.88,5.88,3.15,1.21,94.89,1.69,39.16,7.92,3.72,Average
9.66,45.09,6.31,5.39,2.8,67.8,1.53,83.57,6.93,3.92,Good
3.27,99.2,5.51,7.91,4.24,88.94,4.01,22.77,7.9,7.54,Average
5.48,62.46,7.74,3.19,7.08,66.47,8.06,66.62,8.61,9.18,Average
3.71,62.24,6.51,6.26,6.09,73.65,7.37,99.64,6.52,9.51,Good
3.56,88.77,5.16,8.86,6.2,36.24,8.1,88.46,1.8,5.77,Average
